time	raw
28990	6
28990	6
28990	21
29090	36
29090	43
29090	52
29090	59
29090	68
29090	82
29090	89
29090	93
29090	102
29090	117
29090	132
29090	137
29091	140
29091	151
29091	155
29091	140
29091	184
29091	209
29091	212
29091	195
29091	189
29091	199
29091	184
29092	173
29092	192
29092	218
29092	225
29092	214
29092	211
29092	214
29092	228
29092	210
29092	153
29092	133
29092	176
29092	212
29092	202
29092	177
29093	173
29093	196
29093	214
29093	197
29093	161
29093	146
29093	154
29093	179
29093	187
29093	171
29093	155
29093	149
29093	164
29093	201
29093	209
29094	192
29094	182
29094	196
29094	214
29094	243
29094	260
29095	259
29095	251
29095	227
29195	165
29195	163
29195	203
29195	220
29196	196
29196	162
29196	160
29196	164
29196	140
29196	113
29196	98
29196	113
29196	150
29196	201
29196	212
29196	164
29196	113
29196	98
29196	97
29196	124
29196	166
29196	194
29197	193
29197	177
29197	166
29197	170
29197	181
29197	186
29197	193
29197	194
29197	187
29197	184
29197	173
29197	147
29197	144
29197	171
29197	192
29197	192
29197	147
29197	88
29198	36
29198	-25
29198	-45
29198	-9
29198	-3
29198	-38
29198	-75
29198	-97
29198	-88
29198	-75
29198	-93
29198	-126
29198	-165
29198	-181
29198	-168
29198	-141
29199	-129
29199	-108
29199	-66
29199	-33
29199	-18
29199	-6
29199	22
29300	67
29300	93
29300	99
29300	90
29300	60
29300	2
29300	17
29300	89
29300	138
29300	134
29300	104
29300	73
29300	58
29300	39
29300	23
29300	34
29300	58
29301	64
29301	22
29301	-37
29301	-36
29301	3
29301	-6
29301	-27
29301	-19
29301	-6
29301	25
29301	67
29301	65
29301	24
29301	-23
29301	-27
29301	-5
29301	7
29301	50
29302	100
29302	109
29302	83
29302	64
29302	106
29302	172
29302	220
29302	232
29302	199
29302	140
29402	108
29402	76
29402	57
29402	83
29402	104
29402	72
29402	39
29402	57
29402	69
29402	50
29402	60
29402	41
29402	-17
29403	-42
29403	-30
29403	-18
29403	-13
29403	-10
29403	-9
29403	-20
29403	-29
29403	-57
29403	-87
29403	-106
29403	-130
29403	-163
29403	-182
29403	-180
29403	-180
29403	-165
29404	-147
29404	-104
29404	-97
29404	-103
29404	-87
29404	-53
29404	-37
29404	-11
29404	3
29404	-43
29404	-73
29404	-37
29405	-7
29405	-8
29405	-38
29505	-60
29507	-57
29507	-25
29509	7
29509	21
29509	17
29509	-5
29509	-34
29510	-43
29510	-44
29510	-28
29510	-11
29510	-8
29511	-12
29511	-20
29511	-7
29511	-3
29512	2
29512	32
29512	40
29512	10
29512	-10
29513	-25
29513	-30
29513	1
29514	-40
29514	-68
29514	-98
29514	-118
29514	-125
29515	-115
29515	-81
29515	-28
29515	26
29515	48
29516	13
29516	7
29516	18
29516	43
29517	71
29517	64
29517	26
29517	-1
29517	-12
29518	-51
29518	-68
29518	-35
29518	-18
29518	-53
29519	-108
29519	-97
29519	-46
29519	-22
29619	-35
29619	-54
29619	-50
29619	-46
29619	-77
29619	-85
29619	-68
29619	-42
29620	-52
29620	-113
29620	-132
29620	-75
29620	-23
29620	-28
29620	-57
29620	-59
29620	-62
29621	-114
29621	-173
29621	-173
29621	-142
29621	-146
29621	-185
29621	-214
29621	-187
29621	-136
29622	-81
29622	-65
29622	-40
29622	2
29622	26
29622	36
29622	21
29622	-5
29622	-9
29622	20
29623	21
29623	-34
29623	-97
29623	-91
29623	-88
29623	-107
29623	-104
29623	-105
29623	-113
29623	-94
29624	-81
29624	-69
29624	-18
29624	17
29624	18
29624	22
29624	9
29624	-23
29624	-71
29625	-103
29625	-110
29625	-84
29625	-40
29625	-8
29625	25
29625	68
29625	100
29625	90
29626	41
29626	4
29626	12
29726	80
29726	106
29726	41
29727	-29
29727	-34
29727	3
29727	19
29727	-7
29728	-23
29728	-21
29728	-21
29728	-36
29729	-41
29729	-46
29729	-25
29729	8
29729	16
29730	34
29730	52
29730	58
29730	67
29731	71
29731	56
29731	23
29731	6
29731	23
29732	56
29733	82
29733	59
29734	26
29734	52
29734	75
29734	68
29735	86
29735	48
29735	-36
29735	-45
29735	-4
29736	19
29736	-49
29736	-154
29736	-149
29736	-50
29737	17
29737	-6
29737	-53
29737	-44
29738	0
29738	18
29839	13
29839	16
29839	40
29839	68
29839	39
29839	19
29839	24
29840	28
29840	36
29840	50
29840	49
29840	23
29840	2
29840	-1
29840	16
29840	55
29840	83
29840	83
29840	84
29840	99
29840	96
29840	65
