time	delta	theta	alpha_low	alpha_high	beta_low	beta_high	gamma_low	gamma_mid
5807	336147	6514	20074	25856	7962	5227	1446	653
5807	336147	6514	20074	25856	7962	5227	1446	653
5813	336147	6514	20074	25856	7962	5227	1446	653
5814	336147	6514	20074	25856	7962	5227	1446	653
5814	336147	6514	20074	25856	7962	5227	1446	653
5814	336147	6514	20074	25856	7962	5227	1446	653
5814	336147	6514	20074	25856	7962	5227	1446	653
5814	336147	6514	20074	25856	7962	5227	1446	653
6784	436450	13354	1072	6199	1479	1247	808	392
6784	436450	13354	1072	6199	1479	1247	808	392
6784	436450	13354	1072	6199	1479	1247	808	392
6784	436450	13354	1072	6199	1479	1247	808	392
6784	436450	13354	1072	6199	1479	1247	808	392
6784	436450	13354	1072	6199	1479	1247	808	392
6784	436450	13354	1072	6199	1479	1247	808	392
6784	436450	13354	1072	6199	1479	1247	808	392
7796	243022	7076	1247	1576	2761	1959	632	330
7796	243022	7076	1247	1576	2761	1959	632	330
7796	243022	7076	1247	1576	2761	1959	632	330
7796	243022	7076	1247	1576	2761	1959	632	330
7796	243022	7076	1247	1576	2761	1959	632	330
7796	243022	7076	1247	1576	2761	1959	632	330
7796	243022	7076	1247	1576	2761	1959	632	330
7796	243022	7076	1247	1576	2761	1959	632	330
8813	2122147	53181	3339	9331	13068	6551	4092	1680
8813	2122147	53181	3339	9331	13068	6551	4092	1680
8813	2122147	53181	3339	9331	13068	6551	4092	1680
8813	2122147	53181	3339	9331	13068	6551	4092	1680
8813	2122147	53181	3339	9331	13068	6551	4092	1680
8813	2122147	53181	3339	9331	13068	6551	4092	1680
8813	2122147	53181	3339	9331	13068	6551	4092	1680
8813	2122147	53181	3339	9331	13068	6551	4092	1680
9822	967892	6001	6040	16713	2280	9389	626	1300
9822	967892	6001	6040	16713	2280	9389	626	1300
9822	967892	6001	6040	16713	2280	9389	626	1300
9822	967892	6001	6040	16713	2280	9389	626	1300
9822	967892	6001	6040	16713	2280	9389	626	1300
9822	967892	6001	6040	16713	2280	9389	626	1300
9822	967892	6001	6040	16713	2280	9389	626	1300
9822	967892	6001	6040	16713	2280	9389	626	1300
10830	410350	274311	50994	30967	17169	5607	6365	9448
10830	410350	274311	50994	30967	17169	5607	6365	9448
10830	410350	274311	50994	30967	17169	5607	6365	9448
10830	410350	274311	50994	30967	17169	5607	6365	9448
